params,combined_score,total_pnl,sharpe_ratio,win_rate,profit_factor,max_drawdown,total_trades
"{'weight_technical': 0.3, 'weight_ml': 0.7, 'weight_mtf': 0.0, 'tp_multiplier': 2.5, 'trailing_activation_r': 0.5, 'time_exit_bars': 20, 'partial_profit_levels': [[1.0, 0.3], [1.5, 0.2]]}",0.6918,2311.89,1.52,58.1,1.88,-366.35,38
"{'weight_technical': 0.538, 'weight_ml': 0.385, 'weight_mtf': 0.077, 'tp_multiplier': 2.5, 'trailing_activation_r': 1.5, 'time_exit_bars': 10, 'partial_profit_levels': [[1.0, 0.3], [1.5, 0.2]]}",0.65,1840.94,1.33,67.7,1.27,-562.01,36
"{'weight_technical': 0.438, 'weight_ml': 0.438, 'weight_mtf': 0.125, 'tp_multiplier': 3.0, 'trailing_activation_r': 1.5, 'time_exit_bars': 20, 'partial_profit_levels': [[1.0, 0.3], [1.5, 0.2]]}",0.6065,1980.95,1.5,54.1,1.04,-415.99,40
"{'weight_technical': 0.583, 'weight_ml': 0.25, 'weight_mtf': 0.167, 'tp_multiplier': 2.0, 'trailing_activation_r': 0.5, 'time_exit_bars': 30, 'partial_profit_levels': [[1.0, 0.3], [1.5, 0.2]]}",0.5588,1679.86,1.02,64.3,1.17,-340.37,20
"{'weight_technical': 0.273, 'weight_ml': 0.636, 'weight_mtf': 0.091, 'tp_multiplier': 3.0, 'trailing_activation_r': 1.5, 'time_exit_bars': 10, 'partial_profit_levels': [[1.0, 0.3], [1.5, 0.2]]}",0.5531,1745.7,1.13,45.8,1.57,-382.94,23
"{'weight_technical': 0.538, 'weight_ml': 0.385, 'weight_mtf': 0.077, 'tp_multiplier': 2.5, 'trailing_activation_r': 1.5, 'time_exit_bars': 30, 'partial_profit_levels': [[1.0, 0.3], [1.5, 0.2]]}",0.5526,1624.64,1.1,64.2,0.95,-548.18,18
"{'weight_technical': 0.385, 'weight_ml': 0.538, 'weight_mtf': 0.077, 'tp_multiplier': 2.0, 'trailing_activation_r': 1.0, 'time_exit_bars': 30, 'partial_profit_levels': [[1.0, 0.3], [1.5, 0.2]]}",0.5434,1815.15,1.0,61.1,1.0,-718.14,23
"{'weight_technical': 0.5, 'weight_ml': 0.3, 'weight_mtf': 0.2, 'tp_multiplier': 2.0, 'trailing_activation_r': 1.0, 'time_exit_bars': 30, 'partial_profit_levels': [[1.0, 0.3], [1.5, 0.2]]}",0.5347,1754.73,0.82,67.9,1.41,-500.65,21
"{'weight_technical': 0.357, 'weight_ml': 0.5, 'weight_mtf': 0.143, 'tp_multiplier': 3.0, 'trailing_activation_r': 1.0, 'time_exit_bars': 10, 'partial_profit_levels': [[1.0, 0.3], [1.5, 0.2]]}",0.5336,1623.46,0.95,49.3,1.58,-433.31,36
"{'weight_technical': 0.417, 'weight_ml': 0.583, 'weight_mtf': 0.0, 'tp_multiplier': 3.0, 'trailing_activation_r': 0.5, 'time_exit_bars': 20, 'partial_profit_levels': [[1.0, 0.3], [1.5, 0.2]]}",0.5187,1902.51,1.09,52.6,1.05,-268.66,18
"{'weight_technical': 0.467, 'weight_ml': 0.467, 'weight_mtf': 0.067, 'tp_multiplier': 3.0, 'trailing_activation_r': 1.5, 'time_exit_bars': 20, 'partial_profit_levels': [[1.0, 0.3], [1.5, 0.2]]}",0.5166,2209.17,1.01,53.8,1.0,-532.29,21
"{'weight_technical': 0.556, 'weight_ml': 0.333, 'weight_mtf': 0.111, 'tp_multiplier': 3.0, 'trailing_activation_r': 1.5, 'time_exit_bars': 20, 'partial_profit_levels': [[1.0, 0.3], [1.5, 0.2]]}",0.5071,1592.35,0.82,53.6,1.44,-492.33,22
"{'weight_technical': 0.467, 'weight_ml': 0.467, 'weight_mtf': 0.067, 'tp_multiplier': 2.5, 'trailing_activation_r': 0.5, 'time_exit_bars': 30, 'partial_profit_levels': [[1.0, 0.3], [1.5, 0.2]]}",0.5048,1513.84,0.82,63.0,0.93,-253.46,30
"{'weight_technical': 0.5, 'weight_ml': 0.5, 'weight_mtf': 0.0, 'tp_multiplier': 3.0, 'trailing_activation_r': 1.5, 'time_exit_bars': 10, 'partial_profit_levels': [[1.0, 0.3], [1.5, 0.2]]}",0.4947,1583.12,0.91,54.3,1.11,-514.32,38
"{'weight_technical': 0.625, 'weight_ml': 0.375, 'weight_mtf': 0.0, 'tp_multiplier': 3.0, 'trailing_activation_r': 0.5, 'time_exit_bars': 10, 'partial_profit_levels': [[1.0, 0.3], [1.5, 0.2]]}",0.473,1435.99,0.58,57.9,1.29,-363.92,30
"{'weight_technical': 0.357, 'weight_ml': 0.5, 'weight_mtf': 0.143, 'tp_multiplier': 3.0, 'trailing_activation_r': 0.5, 'time_exit_bars': 30, 'partial_profit_levels': [[1.0, 0.3], [1.5, 0.2]]}",0.4689,1832.95,0.68,50.1,1.41,-345.84,27
"{'weight_technical': 0.636, 'weight_ml': 0.273, 'weight_mtf': 0.091, 'tp_multiplier': 1.5, 'trailing_activation_r': 1.0, 'time_exit_bars': 30, 'partial_profit_levels': [[1.0, 0.3], [1.5, 0.2]]}",0.4402,1714.05,0.45,53.1,1.71,-337.19,19
